timestamp,dataset,data_source,architecture,n_trials,n_completed,n_pruned,selection_time_seconds,best_val_metric,best_params,final_best_val_metric,final_test_metric,final_train_time_seconds,inference_time_seconds,total_time_seconds,metric
2025-10-29 12:17:34,avito-user-clicks,fit-best-table,ResNet,100,9,91,327.27,0.687789,"{'num_layers': 2, 'channels': 128, 'block_width_layer_0': 256, 'block_width_layer_1': 256}",0.680317,0.651863,9.09,0.67,337.10,roc_auc
2025-10-29 12:23:15,event-user-attendance,fit-best-table,ResNet,100,16,84,373.15,0.244916,"{'num_layers': 3, 'channels': 128, 'block_width_layer_0': 64, 'block_width_layer_1': 256, 'block_width_layer_2': 64}",0.261935,0.265715,8.60,0.05,381.87,mae
2025-10-29 12:29:42,event-user-repeat,fit-best-table,ResNet,100,18,82,244.83,0.751951,"{'num_layers': 2, 'channels': 256, 'block_width_layer_0': 256, 'block_width_layer_1': 256}",0.717503,0.783021,16.58,0.01,261.49,roc_auc
2025-10-29 12:34:08,hm-item-sales,fit-best-table,ResNet,100,8,92,1268.94,0.059315,"{'num_layers': 3, 'channels': 64, 'block_width_layer_0': 64, 'block_width_layer_1': 256, 'block_width_layer_2': 256}",0.061198,0.050549,39.90,1.52,1310.45,mae
2025-10-29 12:56:04,hm-user-churn,fit-best-table,ResNet,100,17,83,1247.23,0.660054,"{'num_layers': 3, 'channels': 128, 'block_width_layer_0': 128, 'block_width_layer_1': 256, 'block_width_layer_2': 256}",0.658259,0.656667,55.95,1.52,1304.76,roc_auc
2025-10-29 13:17:53,ratebeer-beer-positive,fit-best-table,ResNet,100,14,86,371.22,0.209476,"{'num_layers': 2, 'channels': 256, 'block_width_layer_0': 64, 'block_width_layer_1': 256}",0.209469,0.176038,29.15,0.13,400.56,mae
2025-10-29 13:24:39,ratebeer-user-active,fit-best-table,ResNet,100,12,88,280.15,0.915566,"{'num_layers': 2, 'channels': 256, 'block_width_layer_0': 256, 'block_width_layer_1': 256}",0.915340,0.893307,14.46,0.06,294.74,roc_auc
2025-10-29 13:29:38,trial-site-success,fit-best-table,ResNet,100,12,88,322.82,0.421440,"{'num_layers': 3, 'channels': 64, 'block_width_layer_0': 64, 'block_width_layer_1': 256, 'block_width_layer_2': 128}",0.439021,0.432738,10.53,0.45,333.87,mae
2025-10-29 13:35:17,trial-study-outcome,fit-best-table,ResNet,100,14,86,211.37,0.680413,"{'num_layers': 3, 'channels': 128, 'block_width_layer_0': 64, 'block_width_layer_1': 256, 'block_width_layer_2': 128}",0.675351,0.693860,6.89,0.03,218.36,roc_auc
2025-10-29 13:39:00,avito-user-clicks,fit-medium-table,ResNet,100,21,79,489.75,0.636186,"{'num_layers': 2, 'channels': 256, 'block_width_layer_0': 128, 'block_width_layer_1': 128}",0.629329,0.662209,10.73,0.44,500.99,roc_auc
